commodity,day,qty
BreadCrumb,4,0.0
Candy,4,0.0
Default,4,0.0
Dip,4,0.0
Instant,4,0.0
Not Available,4,0.0
Nut,4,2030.8799999999999
Powder,4,0.0
Supplement,4,0.0
Tobacco,4,0.0
BreadCrumb,5,0.0
Candy,5,16.224
Default,5,0.0
Dip,5,0.0
Instant,5,0.0
Not Available,5,0.0
Nut,5,399.82800000000003
Powder,5,0.0
Supplement,5,0.0
Tobacco,5,0.0
BreadCrumb,6,0.0
Candy,6,0.0
Default,6,0.0
Dip,6,0.0
Instant,6,0.0
Not Available,6,0.0
Nut,6,1081.0059999999999
Powder,6,0.0
Supplement,6,128.16
Tobacco,6,0.0
BreadCrumb,7,0.0
Candy,7,0.0
Default,7,0.0
Dip,7,0.0
Instant,7,0.0
Not Available,7,0.0
Nut,7,766.576
Powder,7,0.0
Supplement,7,82.5
Tobacco,7,0.0
BreadCrumb,8,0.0
Candy,8,0.0
Default,8,0.0
Dip,8,0.0
Instant,8,0.0
Not Available,8,0.0
Nut,8,533.8119999999999
Powder,8,62.5
Supplement,8,75.024
Tobacco,8,0.0
BreadCrumb,11,166.32
Candy,11,0.0
Default,11,0.0
Dip,11,0.0
Instant,11,0.0
Not Available,11,0.0
Nut,11,2338.5679999999998
Powder,11,0.0
Supplement,11,0.0
Tobacco,11,0.0
BreadCrumb,12,0.0
Candy,12,0.0
Default,12,0.0
Dip,12,0.0
Instant,12,0.0
Not Available,12,0.0
Nut,12,1067.664
Powder,12,0.0
Supplement,12,0.0
Tobacco,12,0.0
BreadCrumb,13,0.0
Candy,13,0.0
Default,13,0.0
Dip,13,0.0
Instant,13,0.0
Not Available,13,0.0
Nut,13,654.5039999999999
Powder,13,0.0
Supplement,13,0.0
Tobacco,13,0.0
BreadCrumb,14,0.0
Candy,14,0.0
Default,14,0.0
Dip,14,0.0
Instant,14,0.0
Not Available,14,0.0
Nut,14,666.944
Powder,14,0.0
Supplement,14,60.0
Tobacco,14,0.0
BreadCrumb,15,0.0
Candy,15,0.0
Default,15,0.0
Dip,15,0.0
Instant,15,0.0
Not Available,15,0.0
Nut,15,325.884
Powder,15,44.06399999999999
Supplement,15,0.0
Tobacco,15,0.0
BreadCrumb,18,0.0
Candy,18,0.0
Default,18,0.0
Dip,18,0.0
Instant,18,0.0
Not Available,18,0.0
Nut,18,1596.0
Powder,18,0.0
Supplement,18,0.0
Tobacco,18,0.0
BreadCrumb,19,0.0
Candy,19,32.448
Default,19,0.0
Dip,19,0.0
Instant,19,0.0
Not Available,19,0.0
Nut,19,1148.148
Powder,19,25.92
Supplement,19,0.0
Tobacco,19,0.0
BreadCrumb,20,0.0
Candy,20,0.0
Default,20,0.0
Dip,20,0.0
Instant,20,0.0
Not Available,20,0.0
Nut,20,1585.1640000000002
Powder,20,0.0
Supplement,20,0.0
Tobacco,20,0.0
BreadCrumb,21,0.0
Candy,21,0.0
Default,21,0.0
Dip,21,0.0
Instant,21,0.0
Not Available,21,0.0
Nut,21,2003.6279999999997
Powder,21,0.0
Supplement,21,0.0
Tobacco,21,0.0
BreadCrumb,22,0.0
Candy,22,0.0
Default,22,0.0
Dip,22,0.0
Instant,22,0.0
Not Available,22,0.0
Nut,22,622.108
Powder,22,0.0
Supplement,22,0.0
Tobacco,22,0.0
