commodity,date,qty
BreadCrumb,1/4/2016,0
Candy,1/4/2016,0
Default,1/4/2016,0
Dip,1/4/2016,0
Instant,1/4/2016,0
Not Available,1/4/2016,0
Nut,1/4/2016,2030.88
Powder,1/4/2016,0
Supplement,1/4/2016,0
Tobacco,1/4/2016,0
Tobacco,1/5/2016,0
Supplement,1/5/2016,0
Powder,1/5/2016,0
Nut,1/5/2016,399.828
Not Available,1/5/2016,0
Default,1/5/2016,0
Dip,1/5/2016,0
Candy,1/5/2016,16.224
BreadCrumb,1/5/2016,0
Instant,1/5/2016,0
Nut,1/6/2016,1081.006
Tobacco,1/6/2016,0
Supplement,1/6/2016,128.16
Powder,1/6/2016,0
Not Available,1/6/2016,0
Candy,1/6/2016,0
Dip,1/6/2016,0
Default,1/6/2016,0
BreadCrumb,1/6/2016,0
Instant,1/6/2016,0
Tobacco,1/7/2016,0
Supplement,1/7/2016,82.5
Powder,1/7/2016,0
Nut,1/7/2016,766.576
Not Available,1/7/2016,0
Instant,1/7/2016,0
Default,1/7/2016,0
Candy,1/7/2016,0
BreadCrumb,1/7/2016,0
Dip,1/7/2016,0
Nut,1/8/2016,533.812
Supplement,1/8/2016,75.024
Powder,1/8/2016,62.5
Not Available,1/8/2016,0
Tobacco,1/8/2016,0
Dip,1/8/2016,0
Default,1/8/2016,0
Candy,1/8/2016,0
BreadCrumb,1/8/2016,0
Instant,1/8/2016,0
Dip,1/9/2016,0
Instant,1/9/2016,0
Not Available,1/9/2016,0
Nut,1/9/2016,0
Powder,1/9/2016,0
Supplement,1/9/2016,0
Tobacco,1/9/2016,0
BreadCrumb,1/9/2016,0
Candy,1/9/2016,0
Default,1/9/2016,0
BreadCrumb,1/10/2016,0
Default,1/10/2016,0
Dip,1/10/2016,0
Instant,1/10/2016,0
Not Available,1/10/2016,0
Nut,1/10/2016,0
Powder,1/10/2016,0
Supplement,1/10/2016,0
Tobacco,1/10/2016,0
Candy,1/10/2016,0
Supplement,1/11/2016,0
Nut,1/11/2016,2338.568
Not Available,1/11/2016,0
Instant,1/11/2016,0
Dip,1/11/2016,0
Tobacco,1/11/2016,0
Powder,1/11/2016,0
BreadCrumb,1/11/2016,166.32
Candy,1/11/2016,0
Default,1/11/2016,0
Tobacco,1/12/2016,0
Supplement,1/12/2016,0
Powder,1/12/2016,0
Nut,1/12/2016,1067.664
Not Available,1/12/2016,0
Instant,1/12/2016,0
Dip,1/12/2016,0
Default,1/12/2016,0
Candy,1/12/2016,0
BreadCrumb,1/12/2016,0
Tobacco,1/13/2016,0
Powder,1/13/2016,0
Nut,1/13/2016,654.504
Not Available,1/13/2016,0
Instant,1/13/2016,0
Dip,1/13/2016,0
Candy,1/13/2016,0
BreadCrumb,1/13/2016,0
Supplement,1/13/2016,0
Default,1/13/2016,0
Instant,1/14/2016,0
Tobacco,1/14/2016,0
Candy,1/14/2016,0
Default,1/14/2016,0
Dip,1/14/2016,0
Not Available,1/14/2016,0
Nut,1/14/2016,666.944
Powder,1/14/2016,0
Supplement,1/14/2016,60
BreadCrumb,1/14/2016,0
Instant,1/15/2016,0
Supplement,1/15/2016,0
Powder,1/15/2016,44.064
Nut,1/15/2016,325.884
Not Available,1/15/2016,0
BreadCrumb,1/15/2016,0
Dip,1/15/2016,0
Tobacco,1/15/2016,0
Default,1/15/2016,0
Candy,1/15/2016,0
Default,1/16/2016,0
Candy,1/16/2016,0
Tobacco,1/16/2016,0
Supplement,1/16/2016,0
Powder,1/16/2016,0
BreadCrumb,1/16/2016,0
Not Available,1/16/2016,0
Instant,1/16/2016,0
Dip,1/16/2016,0
Nut,1/16/2016,0
Supplement,1/17/2016,0
Candy,1/17/2016,0
Default,1/17/2016,0
Dip,1/17/2016,0
Instant,1/17/2016,0
Not Available,1/17/2016,0
Nut,1/17/2016,0
Powder,1/17/2016,0
BreadCrumb,1/17/2016,0
Tobacco,1/17/2016,0
Candy,1/18/2016,0
Default,1/18/2016,0
Dip,1/18/2016,0
Instant,1/18/2016,0
Not Available,1/18/2016,0
Nut,1/18/2016,1596
Powder,1/18/2016,0
Supplement,1/18/2016,0
Tobacco,1/18/2016,0
BreadCrumb,1/18/2016,0
BreadCrumb,1/19/2016,0
Candy,1/19/2016,32.448
Default,1/19/2016,0
Dip,1/19/2016,0
Instant,1/19/2016,0
Not Available,1/19/2016,0
Powder,1/19/2016,25.92
Supplement,1/19/2016,0
Tobacco,1/19/2016,0
Nut,1/19/2016,1148.148
BreadCrumb,1/20/2016,0
Candy,1/20/2016,0
Default,1/20/2016,0
Dip,1/20/2016,0
Instant,1/20/2016,0
Not Available,1/20/2016,0
Nut,1/20/2016,1585.164
Powder,1/20/2016,0
Supplement,1/20/2016,0
Tobacco,1/20/2016,0
Tobacco,1/21/2016,0
BreadCrumb,1/21/2016,0
Candy,1/21/2016,0
Default,1/21/2016,0
Dip,1/21/2016,0
Instant,1/21/2016,0
Not Available,1/21/2016,0
Nut,1/21/2016,2003.628
Powder,1/21/2016,0
Supplement,1/21/2016,0
Supplement,1/22/2016,0
Tobacco,1/22/2016,0
Powder,1/22/2016,0
Nut,1/22/2016,622.108
Not Available,1/22/2016,0
Default,1/22/2016,0
Dip,1/22/2016,0
Candy,1/22/2016,0
BreadCrumb,1/22/2016,0
Instant,1/22/2016,0
Nut,1/23/2016,0
Default,1/23/2016,0
Dip,1/23/2016,0
Instant,1/23/2016,0
Not Available,1/23/2016,0
Tobacco,1/23/2016,0
Supplement,1/23/2016,0
Powder,1/23/2016,0
Candy,1/23/2016,0
BreadCrumb,1/23/2016,0
Nut,1/24/2016,0
Powder,1/24/2016,0
Supplement,1/24/2016,0
Instant,1/24/2016,0
Tobacco,1/24/2016,0
Default,1/24/2016,0
Candy,1/24/2016,0
BreadCrumb,1/24/2016,0
Not Available,1/24/2016,0
Dip,1/24/2016,0
Supplement,1/25/2016,0
BreadCrumb,1/25/2016,0
Candy,1/25/2016,0
Default,1/25/2016,0
Dip,1/25/2016,0
Instant,1/25/2016,0
Not Available,1/25/2016,0
Nut,1/25/2016,441.484
Powder,1/25/2016,0
Tobacco,1/25/2016,0
BreadCrumb,1/26/2016,0
Candy,1/26/2016,0
Default,1/26/2016,0
Dip,1/26/2016,0
Instant,1/26/2016,0
Not Available,1/26/2016,0
Nut,1/26/2016,844.664
Powder,1/26/2016,0
Supplement,1/26/2016,0
Tobacco,1/26/2016,0
Candy,1/27/2016,0
Tobacco,1/27/2016,0
Supplement,1/27/2016,124.416
Powder,1/27/2016,0
Nut,1/27/2016,1872.744
BreadCrumb,1/27/2016,0
Instant,1/27/2016,0
Dip,1/27/2016,0
Default,1/27/2016,0
Not Available,1/27/2016,0
BreadCrumb,1/28/2016,166.32
Tobacco,1/28/2016,0
Supplement,1/28/2016,157.5
Powder,1/28/2016,0
Nut,1/28/2016,537.124
Dip,1/28/2016,0
Default,1/28/2016,0
Candy,1/28/2016,0
Not Available,1/28/2016,0
Instant,1/28/2016,0
Dip,1/29/2016,0
BreadCrumb,1/29/2016,0
Candy,1/29/2016,0
Default,1/29/2016,0
Instant,1/29/2016,0
Nut,1/29/2016,532.116
Powder,1/29/2016,0
Tobacco,1/29/2016,0
Not Available,1/29/2016,0
Supplement,1/29/2016,0
BreadCrumb,1/30/2016,0
Candy,1/30/2016,0
Default,1/30/2016,0
Dip,1/30/2016,0
Instant,1/30/2016,0
Not Available,1/30/2016,0
Nut,1/30/2016,221.364
Powder,1/30/2016,0
Supplement,1/30/2016,0
Tobacco,1/30/2016,0
BreadCrumb,1/31/2016,0
Nut,1/31/2016,0
Not Available,1/31/2016,0
Instant,1/31/2016,0
Dip,1/31/2016,0
Default,1/31/2016,0
Candy,1/31/2016,0
Powder,1/31/2016,0
Supplement,1/31/2016,0
Tobacco,1/31/2016,0
Powder,2/1/2016,0
Nut,2/1/2016,491.292
Not Available,2/1/2016,0
Instant,2/1/2016,0
Dip,2/1/2016,0
Supplement,2/1/2016,0
Candy,2/1/2016,0
BreadCrumb,2/1/2016,0
Tobacco,2/1/2016,0
Default,2/1/2016,0
BreadCrumb,2/2/2016,0
Tobacco,2/2/2016,0
Default,2/2/2016,0
Dip,2/2/2016,0
Instant,2/2/2016,0
Not Available,2/2/2016,0
Nut,2/2/2016,959.548
Powder,2/2/2016,0
Candy,2/2/2016,0
Supplement,2/2/2016,0
Default,2/3/2016,0
BreadCrumb,2/3/2016,0
Candy,2/3/2016,0
Dip,2/3/2016,0
Instant,2/3/2016,0
Not Available,2/3/2016,0
Nut,2/3/2016,2892.476
Tobacco,2/3/2016,0
Supplement,2/3/2016,0
Powder,2/3/2016,0
