Model,test_mse,test_rmse,Type,epochs,key,look_back,ip_units,stacked_units,batch_size
state_lstm_model,0.796476093,0.892455093,Nut,100,state_lstm_model_epochs_100_look_back_50_batch_size_1_stacked_units_[4]_op_units_1,50,0,4,1
timestep_lstm_model,0.820822753,0.905992689,Nut,100,timestep_lstm_model_epochs_100_look_back_30_batch_size_4_stacked_units_[4]_op_units_1,30,0,4,4
timestep_lstm_model,0.88741646,0.942027845,Nut,100,timestep_lstm_model_epochs_100_look_back_50_batch_size_4_stacked_units_[4]_op_units_1,50,0,4,4
timestep_lstm_model,0.887711976,0.942184682,Nut,300,timestep_lstm_model_epochs_300_look_back_30_batch_size_4_stacked_units_[4]_op_units_1,30,0,4,4
lstm_model,0.91901058,0.958650395,Nut,50,lstm_model_epochs_50_look_back_10_batch_size_4_stacked_units_[4]_op_units_1,10,0,4,4
lstm_model,0.924473027,0.961495204,Nut,200,lstm_model_epochs_200_look_back_10_batch_size_4_stacked_units_[4]_op_units_1,10,0,4,4
state_lstm_model,0.929343045,0.964024401,Nut,300,state_lstm_model_epochs_300_look_back_30_batch_size_1_stacked_units_[4]_op_units_1,30,0,4,1
state_lstm_model,0.935245986,0.967081168,Nut,300,state_lstm_model_epochs_300_look_back_1_batch_size_1_stacked_units_[4]_op_units_1,1,0,4,1
state_lstm_model,0.936097507,0.967521321,Nut,100,state_lstm_model_epochs_100_look_back_1_batch_size_1_stacked_units_[4]_op_units_1,1,0,4,1
mlp_model,0.948500417,0.973909861,Nut,200,mlp_model_epochs_200_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
timestep_lstm_model,1.336746309,1.156177456,Supplement,300,timestep_lstm_model_epochs_300_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
lstm_model,1.336830541,1.156213882,Supplement,100,lstm_model_epochs_100_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
timestep_lstm_model,1.336850342,1.156222445,Supplement,100,timestep_lstm_model_epochs_100_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
timestep_lstm_model,1.336866971,1.156229636,Supplement,600,timestep_lstm_model_epochs_600_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
lstm_model,1.337355312,1.156440795,Supplement,200,lstm_model_epochs_200_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
lstm_model,1.337597138,1.156545346,Supplement,300,lstm_model_epochs_300_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
lstm_model,1.337613397,1.156552375,Supplement,600,lstm_model_epochs_600_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
mlp_model,1.338424226,1.156902859,Supplement,200,mlp_model_epochs_200_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
mlp_model,1.338424226,1.156902859,Supplement,200,mlp_model_epochs_200_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
lstm_model,1.338888406,1.157103455,Supplement,50,lstm_model_epochs_50_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
mlp_model,0.97510936,0.987476258,BreadCrumb,25,mlp_model_epochs_25_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
mlp_model,0.97510936,0.987476258,BreadCrumb,25,mlp_model_epochs_25_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
